,worker_id,rev_id,quoting_attack,recipient_attack,third_party_attack,other_attack,attack,gender,english_first_language,age_group,education
0,0,309505796090,0.0,58.0,30.0,149.0,237.0,male,0,18-30,hs
1,4,282035611053,0.0,82.0,6.0,35.0,123.0,male,0,30-45,hs
2,5,262653577761,1.0,77.0,0.0,11.0,89.0,male,0,18-30,bachelors
3,7,307620834736,11.0,124.0,40.0,1.0,170.0,male,0,18-30,bachelors
4,8,305366413240,3.0,155.0,26.0,11.0,192.0,male,0,30-45,hs
5,10,355373718617,1.0,94.0,1.0,5.0,99.0,male,0,30-45,bachelors
6,11,447686505022,1.0,162.0,3.0,2.0,168.0,male,0,30-45,professional
7,12,292654083805,1.0,26.0,10.0,288.0,324.0,male,0,30-45,professional
8,14,348457111074,104.0,105.0,106.0,4.0,110.0,male,0,30-45,bachelors
9,16,106109833846,1.0,1.0,4.0,1.0,7.0,male,0,30-45,masters
10,21,203825420095,6.0,43.0,4.0,26.0,79.0,female,0,18-30,masters
11,22,203038611459,8.0,55.0,9.0,31.0,103.0,male,0,18-30,masters
12,23,206689937463,8.0,54.0,3.0,38.0,103.0,female,0,30-45,masters
13,24,160752140900,8.0,128.0,52.0,4.0,188.0,female,0,18-30,masters
14,25,277372543483,0.0,61.0,34.0,53.0,145.0,male,0,30-45,hs
15,26,348437897985,1.0,92.0,1.0,2.0,96.0,male,0,30-45,professional
16,27,255718361329,4.0,83.0,13.0,8.0,104.0,male,0,18-30,hs
17,30,346820921241,9.0,74.0,13.0,141.0,235.0,female,0,30-45,bachelors
18,33,320425705601,3.0,71.0,5.0,18.0,95.0,male,0,30-45,professional
19,34,343414458354,8.0,56.0,26.0,4.0,94.0,female,0,30-45,bachelors
20,35,319763302545,3.0,72.0,18.0,14.0,107.0,male,0,18-30,bachelors
21,36,285296477191,14.0,133.0,13.0,2.0,162.0,male,0,30-45,hs
22,37,329011734544,12.0,34.0,18.0,95.0,157.0,male,0,18-30,masters
23,40,286698640670,0.0,104.0,2.0,10.0,106.0,male,0,30-45,masters
24,44,387747113546,0.0,173.0,42.0,1.0,208.0,male,0,30-45,professional
25,45,109121623527,0.0,10.0,1.0,10.0,21.0,male,0,18-30,bachelors
26,46,345473682879,4.0,260.0,246.0,5.0,318.0,male,0,18-30,bachelors
27,47,380766169282,9.0,230.0,32.0,26.0,294.0,male,0,18-30,bachelors
28,48,268695391501,1.0,93.0,19.0,10.0,122.0,male,0,30-45,hs
29,49,192210364462,0.0,84.0,6.0,21.0,104.0,male,0,18-30,professional
30,50,360259564005,1.0,73.0,97.0,98.0,120.0,female,0,18-30,hs
31,51,365115078446,1.0,58.0,14.0,5.0,78.0,male,0,30-45,hs
32,54,294416051546,1.0,88.0,2.0,0.0,91.0,female,0,45-60,some
33,56,272090714665,2.0,132.0,0.0,25.0,159.0,male,0,30-45,bachelors
34,57,348132202740,8.0,165.0,66.0,28.0,266.0,male,0,18-30,masters
35,58,232236581453,1.0,127.0,16.0,2.0,146.0,female,0,30-45,bachelors
36,59,319517655411,0.0,102.0,28.0,7.0,137.0,male,1,30-45,masters
37,60,82646718681,3.0,13.0,0.0,2.0,18.0,male,0,30-45,bachelors
38,62,426407690575,0.0,106.0,20.0,45.0,170.0,male,0,45-60,bachelors
39,63,288753529977,1.0,114.0,29.0,3.0,147.0,female,0,18-30,masters
40,64,303300508828,3.0,104.0,35.0,15.0,133.0,male,0,30-45,masters
41,65,311601090315,8.0,69.0,28.0,0.0,79.0,male,0,Under 18,hs
42,66,309711268848,0.0,33.0,12.0,42.0,87.0,male,0,18-30,masters
43,67,330274241089,0.0,104.0,1.0,0.0,105.0,male,0,18-30,hs
44,69,355804998363,2.0,112.0,31.0,3.0,148.0,male,0,30-45,hs
45,71,141017697301,5.0,26.0,8.0,5.0,44.0,male,0,18-30,bachelors
46,77,217649565001,1.0,36.0,10.0,39.0,86.0,female,1,30-45,some
47,80,289712400417,1.0,31.0,8.0,55.0,90.0,male,0,30-45,masters
48,81,355724351433,0.0,34.0,10.0,193.0,237.0,male,0,18-30,professional
49,82,94804831614,12.0,71.0,26.0,18.0,109.0,female,0,18-30,bachelors
50,84,106741267887,0.0,17.0,10.0,1.0,28.0,female,0,18-30,hs
51,86,112290856087,1.0,12.0,9.0,0.0,22.0,female,0,45-60,some
52,87,49616115801,0.0,0.0,0.0,0.0,0.0,female,1,45-60,hs
53,89,166036693970,1.0,49.0,11.0,4.0,65.0,male,1,18-30,bachelors
