,worker_id,rev_id,toxicity,toxicity_score,gender,english_first_language,age_group,education
0,0,142839066762.0,77,-100.0,male,0,30-45,professional
1,1,13467112216.0,5,0.0,male,0,18-30,hs
2,3,111195730727.0,42,253.0,female,0,18-30,bachelors
3,5,144823770681.0,37,-35.0,male,0,18-30,professional
4,6,142288533839.0,41,328.0,female,0,30-45,professional
5,7,139388273364.0,64,64.0,male,0,18-30,bachelors
6,8,132791469387.0,76,-40.0,male,0,18-30,hs
7,9,133264393532.0,43,2.0,female,0,18-30,bachelors
8,10,143144746039.0,80,8.0,female,0,30-45,professional
9,11,143156179604.0,45,130.0,female,0,30-45,hs
10,12,149782714237.0,52,-11.0,male,1,30-45,bachelors
11,13,105516340968.0,26,8.0,male,0,18-30,hs
12,14,39063839240.0,27,32.0,male,1,30-45,bachelors
13,15,141454981746.0,89,121.0,male,0,18-30,hs
14,17,129767918073.0,77,104.0,male,0,18-30,professional
15,18,141119799077.0,82,45.0,male,0,18-30,hs
16,19,145530428354.0,51,57.0,male,0,30-45,bachelors
17,20,141554769245.0,54,337.0,male,0,30-45,hs
18,21,129774638027.0,49,38.0,male,0,18-30,hs
19,23,143966835801.0,72,83.0,male,1,30-45,professional
20,24,135460146268.0,96,222.0,female,0,18-30,bachelors
21,25,140892155367.0,80,55.0,male,0,30-45,masters
22,26,147310789891.0,64,189.0,male,0,18-30,bachelors
23,27,132670653083.0,110,216.0,female,0,45-60,masters
24,28,141664395399.0,55,19.0,female,0,30-45,bachelors
25,29,150533637668.0,88,42.0,male,0,30-45,masters
26,30,130163249317.0,37,341.0,female,0,30-45,hs
27,31,138529014488.0,49,302.0,male,0,30-45,masters
28,32,113251994507.0,54,282.0,male,0,Under 18,bachelors
29,33,136536247199.0,39,306.0,female,0,30-45,doctorate
30,35,138972555185.0,95,-22.0,male,0,30-45,masters
31,36,139657158451.0,44,283.0,male,0,30-45,hs
32,37,137228042914.0,47,313.0,male,0,Under 18,some
33,38,145757130789.0,98,-81.0,female,0,30-45,bachelors
34,39,141955584747.0,69,35.0,male,0,45-60,hs
35,40,139820022082.0,75,245.0,male,0,30-45,hs
36,41,147970128821.0,90,263.0,female,0,18-30,hs
37,43,151569207483.0,59,303.0,male,0,18-30,bachelors
38,44,135603654837.0,130,-45.0,male,0,30-45,professional
39,45,141348249814.0,88,-1.0,female,1,18-30,bachelors
40,46,114717200705.0,43,-35.0,female,0,18-30,bachelors
41,47,140474928436.0,133,-74.0,male,0,18-30,bachelors
42,48,138071299796.0,57,320.0,male,0,30-45,bachelors
43,49,130752870852.0,116,28.0,male,0,45-60,hs
44,50,135799011354.0,128,77.0,male,0,30-45,hs
45,52,143849972077.0,55,312.0,female,0,18-30,hs
46,53,150530477584.0,90,105.0,female,0,45-60,bachelors
47,54,147723666532.0,72,45.0,female,0,30-45,hs
48,56,145946894739.0,110,-93.0,male,0,18-30,hs
49,57,138909747054.0,45,230.0,male,0,18-30,bachelors
50,58,145236648997.0,83,39.0,male,0,18-30,bachelors
51,59,138961591937.0,44,37.0,female,0,18-30,bachelors
52,60,133668726924.0,81,30.0,male,0,18-30,bachelors
53,61,134985210794.0,98,77.0,male,0,18-30,hs
54,62,142678601750.0,44,274.0,female,0,30-45,bachelors
55,63,129045610750.0,76,-61.0,female,0,18-30,masters
56,64,130122748237.0,77,103.0,male,1,30-45,bachelors
57,65,135548879841.0,57,213.0,male,1,18-30,hs
58,66,127057804701.0,56,-28.0,male,0,30-45,masters
59,67,149836536041.0,33,32.0,male,0,30-45,professional
60,68,128474282138.0,43,60.0,male,0,18-30,professional
61,69,137082579826.0,72,274.0,male,0,30-45,hs
62,70,144377794506.0,118,-20.0,male,1,30-45,bachelors
63,71,147939411259.0,78,39.0,male,0,45-60,masters
64,73,141332830952.0,31,90.0,male,0,30-45,professional
65,74,141294894983.0,43,346.0,male,1,18-30,bachelors
66,75,144966306851.0,75,46.0,male,0,18-30,professional
67,76,136472703750.0,52,342.0,male,0,18-30,hs
68,77,112615710655.0,57,149.0,male,0,18-30,bachelors
69,78,131565255969.0,57,-19.0,male,0,Under 18,hs
70,79,137520936844.0,24,-46.0,male,0,30-45,professional
71,80,140886840141.0,45,19.0,male,0,18-30,bachelors
72,81,116414766028.0,39,61.0,male,0,18-30,hs
73,82,148665319570.0,55,326.0,male,0,18-30,bachelors
74,84,137312252511.0,50,359.0,female,0,18-30,masters
75,85,149396708243.0,57,-64.0,female,0,18-30,bachelors
76,86,144023136498.0,60,99.0,female,0,18-30,professional
77,89,98952933349.0,78,-34.0,male,0,30-45,masters
78,90,143892933566.0,38,332.0,female,0,18-30,hs
79,91,137571549467.0,77,295.0,male,0,18-30,hs
80,92,148521673115.0,55,286.0,male,0,45-60,hs
81,95,144652788930.0,68,285.0,male,0,30-45,hs
82,96,140259751578.0,48,340.0,male,0,18-30,bachelors
83,98,149815819469.0,81,251.0,female,0,30-45,hs
84,100,95354033667.0,53,201.0,male,1,18-30,professional
85,101,144584177114.0,53,223.0,male,0,18-30,masters
86,102,146418481459.0,48,-41.0,male,0,18-30,bachelors
87,103,134621741264.0,63,-50.0,female,0,30-45,some
88,105,145167682772.0,53,210.0,female,0,30-45,hs
89,107,140624012590.0,93,-25.0,male,0,18-30,hs
90,108,144589291560.0,146,58.0,male,0,30-45,professional
91,110,142604777832.0,42,345.0,male,0,30-45,bachelors
92,112,143232089856.0,78,77.0,male,0,18-30,hs
93,113,37240830545.0,17,-16.0,female,0,30-45,masters
94,114,145096860160.0,142,99.0,female,0,45-60,professional
95,115,132257305119.0,96,20.0,male,0,30-45,professional
96,116,141830029926.0,114,32.0,female,0,30-45,masters
97,117,148672048288.0,46,5.0,female,0,30-45,bachelors
98,118,150086066560.0,55,327.0,male,0,18-30,bachelors
99,119,143952015899.0,66,268.0,male,1,18-30,none
100,120,130357625895.0,44,-31.0,female,1,18-30,bachelors
101,121,147532470570.0,75,168.0,male,0,18-30,bachelors
102,122,142186665806.0,41,319.0,female,0,45-60,some
103,123,132381691173.0,98,196.0,female,0,18-30,bachelors
104,124,144795906562.0,63,42.0,male,0,30-45,bachelors
105,125,149187536608.0,98,41.0,male,0,30-45,hs
106,126,140338450719.0,179,-159.0,female,0,45-60,bachelors
107,127,134708721416.0,58,294.0,male,0,45-60,hs
108,128,140381147102.0,35,363.0,male,0,30-45,bachelors
109,129,142714529759.0,70,292.0,male,0,30-45,bachelors
110,130,145532050257.0,71,6.0,female,0,18-30,hs
111,131,139358153306.0,109,24.0,female,0,45-60,bachelors
112,132,142082276470.0,25,-20.0,male,0,18-30,bachelors
113,133,135270707223.0,40,-63.0,female,0,45-60,hs
114,134,140560885097.0,40,-40.0,male,0,18-30,bachelors
115,135,139292244943.0,91,201.0,male,0,30-45,hs
116,136,137612195923.0,75,282.0,female,0,30-45,hs
117,137,115356963642.0,73,-47.0,male,1,18-30,bachelors
118,138,135891028253.0,138,16.0,female,0,18-30,bachelors
119,139,134878247679.0,26,-38.0,male,0,18-30,hs
120,140,141570721531.0,68,-16.0,female,0,18-30,hs
121,141,140960482679.0,56,277.0,male,0,18-30,bachelors
122,143,119236653819.0,55,238.0,male,0,18-30,bachelors
123,144,100570914849.0,96,-5.0,female,1,18-30,bachelors
124,145,126010594254.0,48,154.0,male,0,18-30,professional
125,146,148947414551.0,35,-57.0,male,0,18-30,bachelors
126,147,141660294046.0,31,-31.0,female,0,Under 18,hs
127,148,95431469354.0,52,43.0,male,1,18-30,bachelors
128,149,131891143325.0,63,299.0,male,1,30-45,professional
129,150,144264070558.0,66,237.0,male,0,45-60,hs
130,151,139563568991.0,45,25.0,male,0,30-45,hs
131,152,147870789467.0,28,-21.0,female,0,18-30,masters
132,153,133921731392.0,75,288.0,female,0,30-45,bachelors
133,154,132279273068.0,62,31.0,male,0,30-45,bachelors
134,155,146588530203.0,44,48.0,female,0,30-45,hs
135,156,145755452273.0,60,155.0,male,0,30-45,bachelors
136,157,146510747096.0,44,-44.0,male,0,18-30,hs
137,158,141011858496.0,52,-9.0,male,0,18-30,bachelors
138,159,138224907687.0,67,-34.0,male,0,18-30,professional
139,160,134848212596.0,141,-32.0,female,0,30-45,hs
140,162,144611916459.0,114,-127.0,female,1,18-30,bachelors
141,163,113304435645.0,49,-35.0,male,0,30-45,professional
142,164,149198280815.0,47,300.0,female,0,30-45,bachelors
143,165,140561069239.0,40,295.0,male,0,45-60,professional
144,166,144266371713.0,83,101.0,female,0,18-30,bachelors
145,167,144627021713.0,60,-42.0,female,0,30-45,bachelors
146,168,140919613486.0,59,-1.0,male,0,18-30,bachelors
147,169,137613130438.0,63,-46.0,male,0,18-30,bachelors
148,170,143295072175.0,33,393.0,female,0,18-30,bachelors
149,171,94170718874.0,42,243.0,male,1,30-45,some
150,172,124256877960.0,85,221.0,female,1,18-30,hs
151,173,103585094675.0,144,37.0,male,1,30-45,bachelors
152,174,138780142860.0,43,-36.0,female,0,18-30,hs
153,175,139106956342.0,39,279.0,female,0,18-30,hs
154,176,140527663346.0,91,170.0,male,0,45-60,hs
155,177,134382017108.0,69,109.0,male,0,18-30,masters
156,178,129143383818.0,77,208.0,male,0,30-45,masters
157,179,134274267449.0,98,-25.0,male,0,18-30,bachelors
158,180,134168749980.0,55,297.0,male,0,30-45,professional
159,181,143218570057.0,98,95.0,male,0,30-45,bachelors
160,182,137236409468.0,62,193.0,male,0,18-30,hs
161,183,132759144244.0,91,74.0,male,0,18-30,professional
162,184,129033880076.0,84,297.0,female,0,30-45,masters
163,185,102453000151.0,43,32.0,female,0,18-30,hs
164,186,146186010921.0,118,231.0,male,0,18-30,bachelors
165,187,139703582313.0,78,220.0,male,0,30-45,bachelors
166,188,131458650822.0,66,-30.0,male,0,18-30,hs
167,189,135218870872.0,45,291.0,male,0,30-45,professional
168,190,147543325184.0,47,351.0,female,0,18-30,bachelors
169,191,141784773962.0,108,-69.0,female,0,30-45,hs
170,192,141006295382.0,64,-31.0,male,0,30-45,professional
171,193,149447781539.0,73,221.0,female,0,30-45,masters
172,194,137122867496.0,32,-31.0,male,0,18-30,hs
173,195,137666651567.0,41,197.0,male,0,30-45,bachelors
174,196,141209472466.0,86,278.0,male,0,30-45,hs
175,197,132989307133.0,30,-19.0,male,0,18-30,hs
176,198,124099188552.0,29,67.0,male,0,18-30,hs
177,199,143550533548.0,50,3.0,male,0,30-45,masters
178,200,135019927358.0,24,26.0,male,0,30-45,professional
179,201,138744302407.0,49,-49.0,male,0,30-45,hs
180,202,131038048370.0,18,374.0,male,0,18-30,professional
181,203,142212902818.0,43,65.0,male,0,18-30,hs
182,204,148614392725.0,62,150.0,female,0,18-30,masters
183,205,35384632807.0,17,76.0,male,0,18-30,bachelors
184,206,18300133375.0,8,32.0,female,0,45-60,professional
185,207,146828180118.0,45,-24.0,male,0,Under 18,hs
186,208,144051393679.0,119,219.0,male,0,18-30,hs
187,209,134311376107.0,124,29.0,female,0,30-45,bachelors
188,210,143120535570.0,50,22.0,male,0,18-30,bachelors
189,211,140157934139.0,109,-28.0,female,0,18-30,masters
190,212,144809157014.0,116,127.0,male,0,30-45,masters
191,213,118017001968.0,43,268.0,male,0,18-30,bachelors
192,214,74319337742.0,51,-38.0,female,0,18-30,masters
193,215,139931462837.0,88,-50.0,female,0,30-45,hs
194,216,139316743157.0,55,-72.0,female,0,18-30,hs
195,217,136559755845.0,53,234.0,male,0,30-45,bachelors
196,218,141957476698.0,106,218.0,female,0,45-60,masters
197,220,136120944454.0,47,340.0,male,1,18-30,masters
198,221,137596097441.0,68,-5.0,female,0,30-45,masters
199,222,134591132830.0,125,99.0,male,0,18-30,bachelors
200,223,128173664861.0,75,196.0,male,0,18-30,professional
201,224,128490271696.0,56,289.0,male,0,18-30,bachelors
